source_sectors,n
"International Government Organization,Global Defense / Security IGOs,Global",3138
"Upper House,Government,Legislative / Parliamentary",3106
"Finance / Economy / Commerce / Trade Ministry,Executive,Government",3089
"Insurgents,Dissident",3077
"Regional Diplomatic IGOs,Regional,International Government Organization",3021
"Regional,Regional Diplomatic IGOs,International Government Organization",2977
"Dissident,Insurgents",2932
"Legislative / Parliamentary,Upper House,Government",2932
"Dissident,Radicals / Extremists / Fundamentalists",2675
"Executive,Government,Finance / Economy / Commerce / Trade Ministry",2602
"Information / Communication / Transparency Ministry,Government,Executive",2564
"Global Diplomatic IGOs,Global,International Government Organization",2560
"Kurd (Ethnic Group),International Ethnic",2409
"Executive,Government,Information / Communication / Transparency Ministry",2405
"Finance / Economy / Commerce / Trade Ministry,Government,Executive",2394
"Government,Executive,Information / Communication / Transparency Ministry",2371
"Government,Cabinet,Executive,Foreign Ministry",2327
"Government,Executive,Elections Ministry",2319
"Executive,Government,Elections Ministry",2314
"International Ethnic,Kurd (Ethnic Group)",2310
"Elections Ministry,Government,Executive",2197
"International Government Organization,Global,Global Economic/Financial/Trade IGOs",2084
"Army,Government,Military",2068
"Information / Communication / Transparency Ministry,Executive,Government",2063
"Executive,Elections Ministry,Government",2003
"Executive,Government,Justice / Law Ministry",1973
"Government,Elections Ministry,Executive",1956
"Radicals / Extremists / Fundamentalists,Dissident",1938
"Government,Police,National / Border Divisions",1868
"Global Economic/Financial/Trade IGOs,International Government Organization,Global",1862
"Government,Legislative / Parliamentary,Unicameral",1816
"Military,Government,Army",1814
"Executive,Information / Communication / Transparency Ministry,Government",1726
"Government,Justice / Law Ministry,Executive",1667
"Government,Executive,Health Ministry",1635
"Legislative / Parliamentary,Government,Unicameral",1601
"Muslim,Insurgents,Dissident,International Religious",1569
"Legislative / Parliamentary,Unicameral,Government",1563
"Government,Unicameral,Legislative / Parliamentary",1548
"Elections Ministry,Executive,Government",1542
"Nongovernmental Organization (International),Human Rights IGOs,Human Rights NGOs,Nongovernmental Organizations / Activists",1542
"Cabinet,Government,Executive",1541
"Government,Information / Communication / Transparency Ministry,Executive",1488
"Government,Military,Army",1483
"Government,Executive,Education Ministry",1468
"Government,National / Border Divisions,Police",1454
"Foreign Ministry,Executive,Government,Cabinet",1447
"Government,Executive,Justice / Law Ministry",1447
"Government,Navy,Military",1430
"Government,Army,Military",1407
"Dissident,Elite,Protestors / Popular Opposition / Mobs",1394
"Executive,Government,Intelligence Ministry",1391
"Dissident,Organized Violent",1384
"Justice / Law Ministry,Government,Executive",1379
"Government,Foreign Ministry,Cabinet,Executive",1351
"National / Border Divisions,Government,Police",1348
"Government,Military,Navy",1341
"Muslim,International Religious,Insurgents,Dissident",1321
"Organized Violent,Dissident",1320
"Government,Executive,Intelligence Ministry",1309
"Military,Navy,Government",1298
"Nongovernmental Organization (International),Human Rights IGOs,Nongovernmental Organizations / Activists,Human Rights NGOs",1284
"Military,Government,Navy",1274
"Unicameral,Government,Legislative / Parliamentary",1262
"Foreign Ministry,Government,Cabinet,Executive",1255
"Exiles,Dissident",1245
"Elite,Protestors / Popular Opposition / Mobs,Dissident",1242
"Government,Foreign Ministry,Executive,Cabinet",1230
"Muslim,Ideological,Fundamentalist,International Religious,Sunni,Insurgents,Dissident",1215
"Nongovernmental Organizations / Activists,Labor NGOs",1210
"Cabinet,Executive,Foreign Ministry,Government",1202
"Justice / Law Ministry,Executive,Government",1193
"Military,Army,Government",1177
Dissident,1137
"Global,International Government Organization,Global Economic/Financial/Trade IGOs",1133
"Navy,Government,Military",1130
"Foreign Ministry,Executive,Cabinet,Government",1117
"Health Ministry,Executive,Government",1114
"Foreign Ministry,Government,Executive,Cabinet",1113
"Government,Executive",1113
"Police,National / Border Divisions,Government",1103
"Muslim,International Religious,Dissident,Insurgents",1094
"Unicameral,Legislative / Parliamentary,Government",1093
"Executive,Government,Cabinet,Foreign Ministry",1091
"International Government Organization,Global Economic/Financial/Trade IGOs,Global",1090
"Nongovernmental Organization (International),Nongovernmental Organizations / Activists,Human Rights NGOs,Human Rights IGOs",1090
"Human Rights IGOs,Nongovernmental Organization (International),Nongovernmental Organizations / Activists,Human Rights NGOs",1081
"Government,Intelligence Ministry,Executive",1068
"Dissident,Protestors / Popular Opposition / Mobs,Elite",1064
"Executive,Intelligence Ministry,Government",1048
"Government,Cabinet,Executive,Defense / Security Ministry",1046
"Defense / Security Ministry,Government,Cabinet,Executive",1045
"Executive,Government",1039
"Municipal,Government,Local",1032
"Local,Government,Municipal",1031
"Government,Air Force,Military",995
"Human Rights NGOs,Human Rights IGOs,Nongovernmental Organization (International),Nongovernmental Organizations / Activists",987
"Intelligence Ministry,Government,Executive",986
"Protestors / Popular Opposition / Mobs,Elite,Dissident",986
"Executive,Cabinet,Government,Foreign Ministry",982
"Nongovernmental Organizations / Activists,Human Rights IGOs,Nongovernmental Organization (International),Human Rights NGOs",981
"Executive,Justice / Law Ministry,Government",976
"Government,Military,Air Force",973
"Nongovernmental Organization (International),Human Rights NGOs,Nongovernmental Organizations / Activists,Human Rights IGOs",972
"International Government Organization,Global,Global Economic/Financial/Trade IGOs,Global Development IGOs",971
"Executive,Government,Education Ministry",968
"Military,Government,Air Force",966
"Labor NGOs,Nongovernmental Organizations / Activists",962
"Education Ministry,Executive,Government",959
"Nongovernmental Organization (International),Nongovernmental Organizations / Activists",958
"Government,Education Ministry,Executive",944
"Cabinet,Executive,Government,Foreign Ministry",936
"Tamil,Dissident,Separatists,International Ethnic",931
"Insurgents,Dissident,Ideological,Far Left",927
"Military,Air Force,Government",910
"Government,Legislative / Parliamentary,Lower House",907
"Executive,Government,State Media,Information / Communication / Transparency Ministry",902
"Executive,Health Ministry,Government",901
"Ideological,Far Left,Dissident,Insurgents",895
"Navy,Military,Government",893
"Human Rights NGOs,Nongovernmental Organizations / Activists,Human Rights IGOs,Nongovernmental Organization (International)",883
"Government,Cabinet,Foreign Ministry,Executive",865
"Nongovernmental Organizations / Activists,Human Rights NGOs,Nongovernmental Organization (International),Human Rights IGOs",865
"Intelligence Ministry,Executive,Government",862
"Executive,Government,Information / Communication / Transparency Ministry,State Media",861
"Foreign Ministry,Cabinet,Executive,Government",858
"Regional,International Government Organization,Regional Diplomatic IGOs,Government,Police",856
"Ideological,Insurgents,Dissident,Far Left",854
"Nongovernmental Organizations / Activists,Human Rights NGOs,Human Rights IGOs,Nongovernmental Organization (International)",841
"Nongovernmental Organization (International),Nongovernmental Organizations / Activists,Human Rights IGOs,Human Rights NGOs",839
"Human Rights IGOs,Nongovernmental Organization (International),Human Rights NGOs,Nongovernmental Organizations / Activists",835
"Government,Health Ministry,Executive",831
"Ijaw,Elite,Government,Executive Office,Executive,International Ethnic",829
"Government,Executive,Information / Communication / Transparency Ministry,State Media",828
"Government,Legislative / Parliamentary,Elite",817
"Government,Executive,State Media,Information / Communication / Transparency Ministry",814
"State Media,Information / Communication / Transparency Ministry,Government,Executive",804
"Nongovernmental Organizations / Activists,Nongovernmental Organization (International)",800
"Dissident,Insurgents,Far Left,Ideological",796
"Executive,Education Ministry,Government",796
"International Government Organization,Global,Global Law / Justice / Judicial IGOs",796
"Global Defense / Security IGOs,Global,International Government Organization",790
"Nongovernmental Organizations / Activists,Nongovernmental Organization (International),Human Rights IGOs,Human Rights NGOs",788
"Army,Military,Government",782
"Nongovernmental Organizations / Activists,Human Rights NGOs",767
"Executive,Government,Cabinet,Defense / Security Ministry",764
"Executive,Cabinet,Foreign Ministry,Government",757
"Nongovernmental Organizations / Activists,Business NGOs",757
"Government,Foreign Ministry,Executive,Elite",756
"Human Rights IGOs,Nongovernmental Organizations / Activists,Nongovernmental Organization (International),Human Rights NGOs",745
"Information / Communication / Transparency Ministry,State Media,Executive,Government",741
"Separatists,Dissident,International Ethnic,Tamil",737
"Social,Print News,News,Media",737
"Nongovernmental Organization (International),Human Rights NGOs,Human Rights IGOs,Nongovernmental Organizations / Activists",735
"Health Ministry,Government,Executive",731
"Education Ministry,Government,Executive",728
"International Religious,Separatists,Dissident,Muslim",724
"Government,Executive,Foreign Ministry,Elite",719
"Information / Communication / Transparency Ministry,State Media,Government,Executive",715
"Tamil,International Ethnic,Dissident,Separatists",713
"Legislative / Parliamentary,Lower House,Government",710
"Protestors / Popular Opposition / Mobs,Dissident,Elite",704
"Air Force,Government,Military",701
"Government,Executive,Women / Children / Social / Welfare / Development / Religion Ministry",701
"Muslim,International Religious",684
"Nongovernmental Organizations / Activists,Nongovernmental Organization (International),Human Rights NGOs,Human Rights IGOs",684
"Tamil,International Ethnic,Separatists,Dissident",684
"Defense / Security Ministry,Cabinet,Executive,Government",677
"Executive,Government,Health Ministry",675
"Government,Lower House,Legislative / Parliamentary",670
"Government,Military,Military Intelligence",670
"Media,News,Print News,Social",668
"Executive Office,Government,International Ethnic,Elite,Ijaw,Executive",666
"International Religious,Fundamentalist,Dissident,Insurgents,Ideological,Sunni",660
"Far Left,Ideological,Insurgents,Dissident",659
"State Media,Information / Communication / Transparency Ministry,Executive,Government",659
"Cabinet,Executive,Government,Defense / Security Ministry",656
"Human Rights IGOs,Nongovernmental Organizations / Activists,Human Rights NGOs,Nongovernmental Organization (International)",656
"Government,Executive,Agriculture / Fishing / Forestry Ministry",653
"Government,Foreign Ministry,Elite,Executive",652
"Nongovernmental Organizations / Activists,Human Rights IGOs,Human Rights NGOs,Nongovernmental Organization (International)",645
"Human Rights NGOs,Nongovernmental Organization (International),Human Rights IGOs,Nongovernmental Organizations / Activists",643
"Ideological,Far Left,Insurgents,Dissident",643
"Foreign Ministry,Executive,Elite,Government",631
"Government,Executive,Cabinet,Foreign Ministry",631
"Executive,State Media,Information / Communication / Transparency Ministry,Government",628
"Dissident,Tamil,Separatists,International Ethnic",626
"Dissident,International Ethnic,Separatists,Tamil",622
"Human Rights NGOs,Nongovernmental Organizations / Activists",621
"Government,Executive,Elite,Foreign Ministry",618
"Defense / Security Ministry,Executive,Government,Cabinet",614
"Lower House,Legislative / Parliamentary,Government",614
"Human Rights IGOs,Human Rights NGOs,Nongovernmental Organization (International),Nongovernmental Organizations / Activists",612
"Global,International Government Organization,Global Development IGOs,Global Economic/Financial/Trade IGOs",611
"Government,Defense / Security Ministry,Cabinet,Executive",608
"International Ethnic,Separatists,Dissident,Tamil",606
"Elite,Global,International Government Organization,Government,Foreign Ministry,Executive,Global Diplomatic IGOs",602
"Ideological,Dissident,Insurgents,Far Left",598
"Ideological,Dissident,Sunni,Insurgents,International Religious,Fundamentalist",594
"Ideological,Sunni,International Religious,Dissident,Fundamentalist,Insurgents",594
"Foreign Ministry,Government,Executive,Elite",593
"International Government Organization,Global,Global Development IGOs,Global Economic/Financial/Trade IGOs",593
"Dissident,International Religious,Muslim,Separatists",592
"Elite,Government,Foreign Ministry,Executive",590
"Muslim,Social,International Religious,National Religious",589
"Government,Military Intelligence,Military",586
"Business NGOs,Nongovernmental Organizations / Activists",581
"Government,Executive,Energy Ministry",579
"Insurgents,Ideological,Dissident,Far Left",575
"International Religious,Muslim",575
"National Ethnic Minority,National Ethnic,Social,International Ethnic,Chechen",575
"Executive,Government,Agriculture / Fishing / Forestry Ministry",573
"Government,Elite,Foreign Ministry,Executive",570
"Legislative / Parliamentary,Government,Lower House",570
"Executive,Foreign Ministry,Government,Cabinet",566
"Air Force,Military,Government",564
"Defense / Security Ministry,Executive,Cabinet,Government",564
"Executive,Foreign Ministry,Elite,Government",563
"Dissident,Tamil,International Ethnic,Separatists",560
"Government,Information / Communication / Transparency Ministry,State Media,Executive",557
"Government,State Media,Information / Communication / Transparency Ministry,Executive",557
"Far Left,Insurgents,Dissident,Ideological",553
"Fundamentalist,Sunni,International Religious,Ideological,Insurgents,Dissident",552
"Elite,Dissident,Protestors / Popular Opposition / Mobs",551
"Foreign Ministry,Elite,Government,Executive",549
"Government,Agriculture / Fishing / Forestry Ministry,Executive",549
"International Religious,Muslim,Insurgents,Dissident",549
"Separatists,International Ethnic,Dissident,Tamil",547
"Energy Ministry,Executive,Government",541
"International Ethnic,Tamil,Dissident,Separatists",540
"Military Intelligence,Military,Government",540
"Ideological,Dissident,Far Left,Insurgents",539
"Executive,Cabinet,Government,Defense / Security Ministry",538
"Separatists,Dissident,Elite",536
"Women / Children / Social / Welfare / Development / Religion Ministry,Executive,Government",534
"Government,Executive,Environment Ministry",532
"Global Economic/Financial/Trade IGOs,Global,International Government Organization,Global Development IGOs",531
"Human Rights NGOs,Nongovernmental Organizations / Activists,Nongovernmental Organization (International),Human Rights IGOs",531
"Insurgents,Dissident,Far Left,Ideological",531
"Dissident,Insurgents,Ideological,Far Left",530
"Government,Executive,Human Rights Ministry",530
"Government,Elite,Legislative / Parliamentary",529
"International Religious,Insurgents,Dissident,Muslim",528
"Agriculture / Fishing / Forestry Ministry,Government,Executive",527
"Executive,Elite,Government,Foreign Ministry",525
"Government,Elite,Executive,Foreign Ministry",524
"Human Rights IGOs,Human Rights NGOs,Nongovernmental Organizations / Activists,Nongovernmental Organization (International)",524
"Elite,Government,Executive,Foreign Ministry",523
"Foreign Ministry,Executive,Government,Elite",518
"International Government Organization,Global Law / Justice / Judicial IGOs,Global",517
"Executive,Environment Ministry,Government",511
"Consumer Goods Business,Business,Government,Executive Office,Executive,Social,Finance / Economy / Commerce / Trade Ministry",503
"Executive,Government,Women / Children / Social / Welfare / Development / Religion Ministry",503
"Far Left,Dissident,Ideological,Insurgents",502
"Government,Executive,Industrial / Textiles / Mining Ministry",499
"Foreign Ministry,Elite,Executive,Government",497
"Executive,Government,Foreign Ministry,Cabinet",496
"Sunni,Ideological,International Religious,Fundamentalist,Insurgents,Dissident",496
"Elite,Executive,Government,Foreign Ministry",492
"Human Rights NGOs,Human Rights IGOs,Nongovernmental Organizations / Activists,Nongovernmental Organization (International)",487
"International Government Organization,Executive,Government,Foreign Ministry,Elite,Global Diplomatic IGOs,Global",485
"Muslim,Separatists,Dissident,International Religious",482
"Insurgents,Dissident,Sunni,Ideological,Fundamentalist,International Religious",481
"Executive,Foreign Ministry,Government,Elite",477
"Legislative / Parliamentary,Elite,Government",476
"Far Left,Ideological,Dissident,Insurgents",473
"Legislative / Parliamentary,Government,Elite",472
"Labor Ministry,Government,Executive",465
"Executive,Women / Children / Social / Welfare / Development / Religion Ministry,Government",464
"Local,Provincial,Elite,Government",460
"Elite,Executive,Foreign Ministry,Government",455
"Executive,Information / Communication / Transparency Ministry,State Media,Government",455
"Ideological,Fundamentalist,Insurgents,Sunni,Dissident,International Religious",455
"Global Law / Justice / Judicial IGOs,International Government Organization,Global",453
"Social,Muslim,International Religious,National Religious",453
"Women / Children / Social / Welfare / Development / Religion Ministry,Government,Executive",452
"Executive,Government,Environment Ministry",450
"Government,Women / Children / Social / Welfare / Development / Religion Ministry,Executive",450
"International Ethnic,Separatists,Tamil,Dissident",448
"Executive,Government,Labor Ministry",447
"Muslim,Separatists,International Religious,Dissident",447
"Government,Executive,Labor Ministry",444
"Separatists,Tamil,International Ethnic,Dissident",442
"Dissident,Muslim,International Religious,Separatists",441
"Ideological,Fundamentalist,International Religious,Sunni,Dissident,Insurgents",441
"Elite,International Government Organization,Regional,Regional Diplomatic IGOs",437
"Global Economic/Financial/Trade IGOs,International Government Organization,Global,Global Development IGOs",437
"Muslim,National Religious,International Religious,Social",436
"Environment Ministry,Government,Executive",434
"Dissident,Separatists,Elite",433
"Executive,Government,Elite,Foreign Ministry",432
"Government,Defense / Security Ministry,Executive,Cabinet",431
"Agriculture / Fishing / Forestry Ministry,Executive,Government",427
"Energy Ministry,Government,Executive",426
"Sunni,Ideological,Insurgents,Dissident,International Religious,Fundamentalist",426
"International Religious,Dissident,Insurgents,Muslim",425
"Executive,Agriculture / Fishing / Forestry Ministry,Government",424
"Lower House,Government,Legislative / Parliamentary",424
"Executive,Cabinet,Defense / Security Ministry,Government",423
"Military,Military Intelligence,Government",420
"Provincial,Local,Government,Elite",420
"Dissident,Elite,Separatists",419
"Separatists,Elite,Dissident",419
"Global,International Government Organization,Global Economic/Financial/Trade IGOs,Global Development IGOs",418
"Executive,Defense / Security Ministry,Cabinet,Government",417
"Global,Global Diplomatic IGOs,International Government Organization",417
"Executive,Government,Energy Ministry",414
"Human Rights NGOs,Nongovernmental Organization (International),Nongovernmental Organizations / Activists,Human Rights IGOs",412
"Executive,Elite,Foreign Ministry,Government",409
"International Government Organization,Regional,Elite,Regional Diplomatic IGOs",407
"Cabinet,Government,Foreign Ministry,Executive",405
"Elite,Foreign Ministry,Government,Executive",404
"Executive,Labor Ministry,Government",404
"Fundamentalist,International Religious,Ideological,Sunni,Dissident,Insurgents",402
"Ideological,Insurgents,Dissident,Communist",402
"Government,Provincial Divisions,Police",401
"International Religious,Muslim,Dissident,Insurgents",401
"International Religious,Dissident,Rebel,Muslim",400
Nongovernmental Organizations / Activists,400
"Provincial,Local,Elite,Government",400
"National Religious,International Religious,Muslim,Social",397
"Ideological,Sunni,Dissident,Insurgents,International Religious,Fundamentalist",396
"International Religious,Muslim,Separatists,Dissident",395
"Executive,Government,Foreign Ministry,Elite",394
"Separatists,International Ethnic,Tamil,Dissident",387
"Social,International Religious,Muslim,National Religious",387
"Ideological,International Religious,Fundamentalist,Sunni,Dissident,Insurgents",386
"Elite,Dissident,Separatists",385
"Military,Ideological,Government,Nationalist",383
"Social,National Ethnic",383
"Social,International Religious,National Religious,Muslim",380
"Social,Muslim,National Religious,International Religious",374
"Elite,Separatists,Dissident",373
"Social,Government,Executive,Education,Foreign Ministry",370
"Dissident,Ideological,Insurgents,Far Left",369
"Muslim,International Religious,Separatists,Dissident",369
"Government,Marines,Military",368
"Separatists,Muslim,Dissident,International Religious",366
"Tamil,Dissident,International Ethnic,Separatists",364
"Global Economic/Financial/Trade IGOs,Global,International Government Organization",363
"Dissident,Separatists,International Ethnic,Tamil",356
"Government,Cabinet,Executive,Finance / Economy / Commerce / Trade Ministry",356
"International Government Organization,Regional,Regional Defense / Security IGOs",356
"Government,Local,Provincial,Elite",355
"Government,Executive,Foreign Ministry,Cabinet",354
"Muslim,International Religious,Dissident,Rebel",352
"Cabinet,Foreign Ministry,Executive,Government",350
"Government,Military,Unidentified Forces",350
"Social,Print News,Media,News",350
"Government,Executive,Elite,Defense / Security Ministry",349
"Social,Consulting / Financial Services Business,Business",349
"Elite,Legislative / Parliamentary,Government",348
"International Government Organization,Regional Defense / Security IGOs,Regional",347
"Elite,Government,Local,Provincial",346
"Social,Government,Executive,Foreign Ministry,Education",346
"Dissident,Kurd (Ethnic Group),International Ethnic,Separatists",345
"Government,Labor Ministry,Executive",345
"Sunni,Ideological,Fundamentalist,Insurgents,Dissident,International Religious",345
"Government,Energy Ministry,Executive",344
"Government,Provincial,Local,Elite",344
"Social,News,Print News,Media",343
"Dissident,Insurgents,International Religious,Muslim",340
"International Government Organization,Global,Elite,Government,Global Diplomatic IGOs",340
"National Religious,Muslim,International Religious,Social",340
"Government,Executive,Cabinet,Defense / Security Ministry",339
"Government,Environment Ministry,Executive",338
"Dissident,Insurgents,Muslim,International Religious",337
"Separatists,Dissident,Radicals / Extremists / Fundamentalists",337
"International Government Organization,Regional Diplomatic IGOs,Regional,Elite",336
"International Religious,Ideological,Dissident,Insurgents,Fundamentalist,Sunni",335
"Insurgents,Dissident,Muslim,International Religious",334
"Dissident,Insurgents,Ideological,Muslim,Sunni,International Religious,Fundamentalist",332
"Muslim,Dissident,International Religious,Separatists",331
"International Ethnic,Dissident,Tamil,Separatists",330
"Marines,Government,Military",327
"Separatists,Muslim,International Religious,Dissident",326
"Executive,Foreign Ministry,Cabinet,Government",324
"Government,Elite,Provincial,Local",324
"International Ethnic,Separatists,Dissident,Kurd (Ethnic Group)",321
"National Religious,Muslim,Social,International Religious",321
"Insurgents,Dissident,International Religious,Fundamentalist,Sunni,Ideological",320
"Environment Ministry,Executive,Government",319
"Unidentified Forces,Government,Military",319
"Labor Ministry,Executive,Government",317
"Executive,Defense / Security Ministry,Government,Cabinet",316
"Muslim,Dissident,Insurgents,International Religious",316
"National Religious,International Religious,Social,Muslim",316
"Media,Print News,News,Social",315
"National Ethnic,Social",315
"Government,Cabinet,Executive,Foreign Ministry,Elite",314
"Separatists,Dissident,Muslim,International Religious",314
"Government,International Government Organization,Regional Diplomatic IGOs,Regional,Police",313
"Government,Municipal Divisions,Police",313
"News,Media,Print News,Social",313
"Cabinet,Executive,Defense / Security Ministry,Government",312
"Insurgents,International Religious,Dissident,Muslim",312
"Far Left,Dissident,Insurgents,Ideological",309
"Provincial,Government,Elite,Local",309
"Elite,International Religious,Executive Office,Executive,Sunni,Government",308
"Ideological,Fundamentalist,International Religious,Insurgents,Dissident,Sunni",307
"Elite,Foreign Ministry,Executive,Government",306
"Human Rights Ministry,Executive,Government",306
"Insurgents,Dissident,Fundamentalist,Ideological,Sunni,International Religious",305
"Elite,Government,Provincial,Local",304
"Executive,Energy Ministry,Government",304
"Ideological,Dissident,Insurgents,Communist",303
"International Religious,Social,Muslim,National Religious",303
"Elite,Government,Cabinet,Executive,Foreign Ministry",300
"Insurgents,Dissident,International Religious,Muslim",300
"International Religious,Muslim,Dissident,Rebel",300
"Dissident,Separatists,Tamil,International Ethnic",299
"Government,International Government Organization,Global,Global Diplomatic IGOs,Elite",299
"International Government Organization,Global,Global Law / Justice / Judicial IGOs,Elite",299
"International Government Organization,Regional,Regional Diplomatic IGOs,Elite",299
"Executive,Information / Communication / Transparency Ministry,Government,State Media",298
"Orthodox,International Religious,Executive Office,Elite,Government,Executive",298
"Government,Cabinet,Executive,Interior / Home Ministry",297
"Elite,Government,Legislative / Parliamentary",296
"Fundamentalist,Insurgents,Sunni,Dissident,International Religious,Ideological",296
"Government,Executive Office,Executive,Legislative / Parliamentary,Lower House,Elite",296
"Military,Government,Unidentified Forces",296
"Defense / Security Ministry,Elite,Executive,Government",295
"Executive,Human Rights Ministry,Government",295
"Muslim,Dissident,Separatists,International Religious",294
"International Government Organization,Regional Diplomatic IGOs,Elite,Regional",293
"Separatists,Dissident,Tamil,International Ethnic",293
"Government,Human Rights Ministry,Executive",292
"International Religious,Fundamentalist,Sunni,Ideological,Government",292
"Separatists,International Religious,Dissident,Muslim",292
"Government,Provincial,Elite,Local",291
"International Religious,Rebel,Dissident,Muslim",291
"Government,Elite,Local,Provincial",290
"Global,Global Development IGOs,International Government Organization,Global Economic/Financial/Trade IGOs",289
"Dissident,Far Left,Insurgents,Ideological",287
"Dissident,Insurgents,Communist,Ideological",287
"Military,Government,Marines",287
"Executive,Government,Human Rights Ministry",286
"Global Development IGOs,International Government Organization,Global,Global Economic/Financial/Trade IGOs",286
"Ideological,Sunni,International Religious,Fundamentalist,Dissident,Insurgents",285
"Industrial / Textiles / Mining Ministry,Executive,Government",284
"Government,Unidentified Forces,Military",283
"Government,Local,Municipal,Provincial",282
"Government,Executive,Finance / Economy / Commerce / Trade Ministry,Elite",281
"Elite,Provincial,Local,Government",277
"International Religious,Dissident,Separatists,Muslim",276
"Regional Diplomatic IGOs,International Government Organization,Regional,Elite",276
"Government,Executive,Defense / Security Ministry,Elite",275
"Human Rights Ministry,Government,Executive",274
"Executive,Industrial / Textiles / Mining Ministry,Government",273
"Elite,Government,Military",272
"Rebel,Dissident,International Religious,Muslim",272
"Rebel,Muslim,Dissident,International Religious",272
"Military,Unidentified Forces,Government",271
"Sunni,Ideological,International Religious,Dissident,Insurgents,Fundamentalist",271
"Dissident,Separatists,International Religious,Muslim",270
"Government,State-Owned Heavy Industrial / Chemical,State Owned Enterprises",270
"International Religious,National Religious,Muslim,Social",270
"Defense / Security Ministry,Elite,Government,Executive",269
"International Government Organization,Regional Economic/Financial/Trade IGOs,Regional",268
"Regional,International Government Organization,Regional Diplomatic IGOs,Elite",268
"Executive,Government,Industrial / Textiles / Mining Ministry",267
"Foreign Ministry,Government,Elite,Executive",267
"Government,Executive,Interior / Home Ministry,Elite",267
"Dissident,International Religious,Separatists,Muslim",264
"Government,Local",263
