crisno,sentence_number_int_aligned,sentence_number_int_aligned_groupmethod,sentence1,sentence2,sentence3,sentence4
47,49,48,"Premier Pierre Laval, who as Foreign Minister had negotiated the January 1935 carte blanche deal with Italy, attempted to slow down the imposition of sanctions by a special League Committee of Thirteen, which had been set up on 9 October to draft specific measures.","Premier Pierre Laval, who as Foreign Minister had negotiated the January 1935 carte blanche deal with Italy, attempted to slow down the imposition of sanctions by a special League Committee of Thirteen, which had been set up on 9 October to draft specific measures.","Premier Pierre Laval, who as Foreign Minister had negotiated the January 1935 carte blanche deal with Italy, attempted to slow down the imposition of sanctions by a special League Committee of Thirteen, which had been set up on 9 October to draft specific measures.",
47,50,49,"Its recommendations, issued on 6 November, triggered a crisis for Italy because they included sanctions on oil imports, as well as other vital raw materials.","Its recommendations, issued on 6 November, triggered a crisis for Italy because they included sanctions on oil imports, as well as other vital raw materials.","Its recommendations, issued on 6 November, triggered a crisis for Italy because they included sanctions on oil imports, as well as other vital raw materials.","Its recommendations, issued on 6 November, triggered a crisis for Italy because they included sanctions on oil imports, as well as other vital raw materials."
47,51,50,Italy responded in early December by informing France's premier that such League action would seriously affect Franco-Italian relations.,Italy responded in early December by informing France's premier that such League action would seriously affect Franco-Italian relations.,Italy responded in early December by informing France's premier that such League action would seriously affect Franco-Italian relations.,"Italy responded in early December by informing France's premier that such League action would seriously affect Franco-Italian relations._x000d__x000d_Laval took measures to stall the imposition of oil sanctions and succeeded in preventing their adoption, preferring a compromise agreement between the adversaries."
47,52,50,"Laval took measures to stall the imposition of oil sanctions and succeeded in preventing their adoption, preferring a compromise agreement between the adversaries.","Laval took measures to stall the imposition of oil sanctions and succeeded in preventing their adoption, preferring a compromise agreement between the adversaries.",,"Laval took measures to stall the imposition of oil sanctions and succeeded in preventing their adoption, preferring a compromise agreement between the adversaries."
47,53,52,U.K. Foreign Secretary Hoare and Laval began talks on 7 December.,U.K. Foreign Secretary Hoare and Laval began talks on 7 December.,U.K. Foreign Secretary Hoare and Laval began talks on 7 December.,U.K. Foreign Secretary Hoare and Laval began talks on 7 December.
47,54,53,The result was the Hoare-Laval Plan announced on 9 December.,The result was the Hoare-Laval Plan announced on 9 December.,The result was the Hoare-Laval Plan announced on 9 December.,The result was the Hoare-Laval Plan announced on 9 December.
47,55,54,"The plan called for three areas of Ethiopia bordering Eritrea and Italian Somaliland to be ceded to Italy, and a large section of southern Ethiopia to be set aside for exclusive Italian exploitation.","The plan called for three areas of Ethiopia bordering Eritrea and Italian Somaliland to be ceded to Italy, and a large section of southern Ethiopia to be set aside for exclusive Italian exploitation.","The plan called for three areas of Ethiopia bordering Eritrea and Italian Somaliland to be ceded to Italy, and a large section of southern Ethiopia to be set aside for exclusive Italian exploitation.","The plan called for three areas of Ethiopia bordering Eritrea and Italian Somaliland to be ceded to Italy, and a large section of southern Ethiopia to be set aside for exclusive Italian exploitation."
47,56,55,Ethiopia was to receive a corridor to the sea and the port of Assab in Eritrea.,Ethiopia was to receive a corridor to the sea and the port of Assab in Eritrea.,Ethiopia was to receive a corridor to the sea and the port of Assab in Eritrea.,Ethiopia was to receive a corridor to the sea and the port of Assab in Eritrea._x000d__x000d_
47,57,56,The plan was uncovered by the press in Britain and published even before it was proposed to the belligerents.,The plan was uncovered by the press in Britain and published even before it was proposed to the belligerents.,The plan was uncovered by the press in Britain and published even before it was proposed to the belligerents.,The plan was uncovered by the press in Britain and published even before it was proposed to the belligerents.
47,58,57,The subsequent backlash resulted in Hoare's resignation on 18 December 1935 and the fall of the Laval government in France on 22 January 1936.,The subsequent backlash resulted in Hoare's resignation on 18 December 1935 and the fall of the Laval government in France on 22 January 1936.,The subsequent backlash resulted in Hoare's resignation on 18 December 1935 and the fall of the Laval government in France on 22 January 1936.,The subsequent backlash resulted in Hoare's resignation on 18 December 1935 and the fall of the Laval government in France on 22 January 1936.
47,59,58,On 3 March the new French premier was able to thwart the final attempt to impose oil sanctions against Italy in favor of an appeal to the belligerents for conciliation.,On 3 March the new French premier was able to thwart the final attempt to impose oil sanctions against Italy in favor of an appeal to the belligerents for conciliation.,On 3 March the new French premier was able to thwart the final attempt to impose oil sanctions against Italy in favor of an appeal to the belligerents for conciliation.,On 3 March the new French premier was able to thwart the final attempt to impose oil sanctions against Italy in favor of an appeal to the belligerents for conciliation._x000d__x000d_
47,60,59,"Once the threat of effective League action was over, the crises for Italy, France, and the U.K. ended.","Once the threat of effective League action was over, the crises for Italy, France, and the U.K. ended.","Once the threat of effective League action was over, the crises for Italy, France, and the U.K. ended.","Once the threat of effective League action was over, the crises for Italy, France, and the U.K. ended."
47,61,60,Hitler's reoccupation of the Rhineland on 7 March 1936 diverted League attention from Italy.,Hitler's reoccupation of the Rhineland on 7 March 1936 diverted League attention from Italy.,"Hitler's reoccupation of the Rhineland on 7 March 1936 (see <a href=""javascript:select_crisis(51)"">Case #51--Remilitarization of the Rhineland</a>, in France/Germany PC) diverted League attention from Italy.","Hitler's reoccupation of the Rhineland on 7 March 1936 (see <a href=""javascript:select_crisis(51)"">Case #51--Remilitarization of the Rhineland</a>, in France/Germany PC) diverted League attention from Italy."
47,62,61,,,"Meanwhile war raged in Ethiopia and escalated with the Italian use of mustard gas, despite League disapproval.","Meanwhile war raged in Ethiopia and escalated with the Italian use of mustard gas, despite League disapproval."
47,63,62,,,"Ethiopia appealed to the League, to other states, and to the world at large throughout April 1936.","Ethiopia appealed to the League, to other states, and to the world at large throughout April 1936."
47,64,63,,,On 2 May Haile Selassie fled into exile through French Somaliland.,On 2 May Haile Selassie fled into exile through French Somaliland.
47,65,64,,,"On 5 May the capital, Addis Ababa, fell to Italy's forces; and Mussolini announced the end of the war and Italy's annexation of Ethiopia.","On 5 May the capital, Addis Ababa, fell to Italy's forces; and Mussolini announced the end of the war and Italy's annexation of Ethiopia._x000d__x000d_(The League Assembly lifted the sanctions against Italy in July 1936 and refused to recognize its conquest of Ethiopia."
47,66,64,,,,(The League Assembly lifted the sanctions against Italy in July 1936 and refused to recognize its conquest of Ethiopia.
47,67,66,,,The United States passed the Second Neutrality Act on 29 February 1936 in response to the recommendations for oil sanctions against Italy.),The United States passed the Second Neutrality Act on 29 February 1936 in response to the recommendations for oil sanctions against Italy.)
74,1,1,The crisis immediately preceding -- and following the onset of -- World War II began on 20 August 1939 and ended on 28 September of that year.,The crisis immediately preceding--and following the onset of--World War II began on 20 August 1939 and ended on 28 September of that year.,,
74,2,2,"The following 21 countries were crisis actors: Australia, Belgium, Canada, Denmark, Estonia, Finland, France, Japan, Latvia, Lithuania, Luxembourg, the Netherlands, New Zealand, Norway, Poland, Romania, South Africa, Sweden, Switzerland, the U.K., and the USSR.Pre-crisisThe Czechoslovak Annexation crisis of March 1939 confronted the small states of Europe, especially Poland and Romania, with forebodings of a similar fate.","The following 21 countries were crisis actors: Australia, Belgium, Canada, Denmark, Estonia, Finland, France, Japan, Latvia, Lithuania, Luxembourg, the Netherlands, New Zealand, Norway, Poland, Romania, South Africa, Sweden, Switzerland, the U.K., and the USSR. Pre-crisis The Czechoslovak Annexation crisis of March 1939 (see <a href=""javascript:select_crisis(68)"">Case #68</a>, in Czech./Germany PC) confronted the small states of Europe, especially Poland and Romania, with forebodings of a similar fate.",,
74,3,3,"In an effort to build an effective European coalition of anti-German forces, negotiations were initiated between the Western powers and the Soviet Union.","In an effort to build an effective European coalition of anti-German forces, negotiations were initiated between the Western powers and the Soviet Union.",,
74,4,4,"The failure of these negotiations, to a large extent, was due to Poland's and Romania's refusal to allow the entry of Russian troops into their territories, even for the purpose of assisting resistance to a possible German attack.","The failure of these negotiations, to a large extent, was due to Poland's and Romania's refusal to allow the entry of Russian troops into their territories, even for the purpose of assisting resistance to a possible German attack.",,
74,5,5,"German-Soviet negotiations had been taking place since June, and on 15 August German Ambassador Schulenberg delivered a message to Soviet Foreign Minister Molotov stating that Ribbentrop was prepared to visit Moscow in order to bring about a permanent change in German-Soviet relations.","German-Soviet negotiations had been taking place since June, and on 15 August German Ambassador Schulenberg delivered a message to Soviet Foreign Minister Molotov stating that Ribbentrop was prepared to visit Moscow in order to bring about a permanent change in German-Soviet relations.",,
74,6,6,"Hitler wished Ribbentrop to be received at once, for his plans to invade Poland on 26 August were contingent upon the Soviet response.","Hitler wished Ribbentrop to be received at once, for his plans to invade Poland on 26 August were contingent upon the Soviet response.",,
74,7,7,On 19 August the Soviets indicated their agreement to a meeting on the 26th.,On 19 August the Soviets indicated their agreement to a meeting on the 26th.,,
74,8,8,Triggers and ResponsesThe first state to perceive a crisis was Latvia.,Triggers and Responses The first state to perceive a crisis was Latvia.,,
74,9,9,On 20 August Latvian Foreign Minister Munters received reports of plans for the partition of Eastern Europe between Germany and the Soviet Union.,On 20 August Latvian Foreign Minister Munters received reports of plans for the partition of Eastern Europe between Germany and the Soviet Union.,,
74,10,10,"Latvia's representative in Berlin was instructed to obtain a formal statement from the German government that the security, integrity, and independence of the Baltic states would be maintained.","Latvia's representative in Berlin was instructed to obtain a formal statement from the German government that the security, integrity, and independence of the Baltic states would be maintained.",,
74,11,11,"Its major response, on 30 August, was a decision at a special meeting of the Latvian cabinet to introduce a number of defense measures, including mobilization.","Its major response, on 30 August, was a decision at a special meeting of the Latvian cabinet to introduce a number of defense measures, including mobilization.",,
74,12,12,On 21 August a crisis was triggered for the Soviet Union when Stalin received a personal message from Hitler accepting the Soviet draft for a Non-Aggression Pact and urging an earlier date for the Ribbentrop visit.,On 21 August a crisis was triggered for the Soviet Union when Stalin received a personal message from Hitler accepting the Soviet draft for a Non-Aggression Pact and urging an earlier date for the Ribbentrop visit.,,
74,13,13,Stalin interpreted this message as an ultimatum.,Stalin interpreted this message as an ultimatum.,,
74,14,14,"If the German plan to invade Poland on the 26th was not met by strong action on the part of France and the U.K., Germany would be free to impose its views on the USSR.","If the German plan to invade Poland on the 26th was not met by strong action on the part of France and the U.K., Germany would be free to impose its views on the USSR.",,
74,15,15,"After short deliberations, Stalin agreed to Ribbentrop's arrival on 23 August.","After short deliberations, Stalin agreed to Ribbentrop's arrival on 23 August.",,
74,16,16,The signing of a Non-Aggression Treaty with Germany on 23 August was the USSR's major response.,The signing of a Non-Aggression Treaty with Germany on 23 August was the USSR's major response.,,
74,17,17,"On the evening of 21 August word was received in the capitals of Japan, Poland, and the U.K. that negotiations between Germany and the USSR for a Non-Aggression Pact were about to be concluded.","On the evening of 21 August word was received in the capitals of Japan, Poland, and the U.K. that negotiations between Germany and the USSR for a Non-Aggression Pact were about to be concluded.",,
74,18,18,"Japan's Ambassador to Berlin, Oshima, protested to Germany that it would be an act of bad faith and a contravention of the Anti-Comintern Pact.","Japan's Ambassador to Berlin, Oshima, protested to Germany that it would be an act of bad faith and a contravention of the Anti-Comintern Pact.",,
74,19,19,"At that time, a full-scale war was raging between Japan and the Soviet Union at Nomonhan, and the Japanese feared that the USSR would take advantage of their strengthened international position to exert added pressure on Japan in Asia.","At that time, a full-scale war was raging between Japan and the Soviet Union at Nomonhan (see <a href=""javascript:select_crisis(72)"">Case #72</a>, in Asia: Non-PCs), and the Japanese feared that the USSR would take advantage of their strengthened international position to exert added pressure on Japan in Asia.",,
74,20,20,"The Hiranuma cabinet responded by instructing Oshima to make a formal protest to the German government, which was delivered on 26 August.","The Hiranuma cabinet responded by instructing Oshima to make a formal protest to the German government, which was delivered on 26 August.",,
74,21,21,"In the U.K., news of the Pact was accompanied by reports of German troop movements toward the Polish frontier.","In the U.K., news of the Pact was accompanied by reports of German troop movements toward the Polish frontier.",,
74,22,22,"At a cabinet meeting the following day, members decided on partial mobilization and a call to convene parliament on the 24th.","At a cabinet meeting the following day, members decided on partial mobilization and a call to convene parliament on the 24th.",,
74,23,23,"The British were faced with a fait accompli, their inability to reach an agreement with Moscow; and the existence of the Molotov-Ribbentrop Pact did not alter the U.K.'s obligations to Poland.","The British were faced with a fait accompli, their inability to reach an agreement with Moscow; and the existence of the Molotov-Ribbentrop Pact did not alter the U.K.'s obligations to Poland.",,
74,24,24,"On 22 and 23 August Notes were exchanged between Chamberlain and Hitler, and on 25 August Hitler demanded that a Polish emissary arrive in Berlin within 24 hours.","On 22 and 23 August Notes were exchanged between Chamberlain and Hitler, and on 25 August Hitler demanded that a Polish emissary arrive in Berlin within 24 hours.",,
74,25,25,The British cabinet considered this unreasonable and refused to recommend to Poland that it comply with this demand.,The British cabinet considered this unreasonable and refused to recommend to Poland that it comply with this demand.,,
74,26,26,Diplomatic efforts continued until 1 September when German forces crossed the Polish frontier and began their invasion.,Diplomatic efforts continued until 1 September when German forces crossed the Polish frontier and began their invasion.,,
74,27,27,"On the 2nd the U.K. sent an ultimatum to Hitler, after no reply had been received to its Note of the previous day, offering to negotiate if German forces were withdrawn from Poland.","On the 2nd the U.K. sent an ultimatum to Hitler, after no reply had been received to its Note of the previous day, offering to negotiate if German forces were withdrawn from Poland.",,
74,28,28,And on the 3rd the U.K. declared war on Germany.,And on the 3rd the U.K. declared war on Germany.,,
74,29,29,The impending Ribbentrop journey to Moscow was broadcast by Moscow Radio on 22 August.,The impending Ribbentrop journey to Moscow was broadcast by Moscow Radio on 22 August.,,
