labels,n_sources,sentence
216,5,"His ‘election’ was decreed unconstitutional by Oleksandr Turchynov on 1 March 2014.
His ‘election’ was decreed unconstitutional by the acting Ukrainian President Oleksandr Turchynov on 1 March 2014.
His 'election' was decreed unconstitutional by the acting Sergei Valerievich now Republic of Ukrainian President Oleksandr Turchynov on 1 March 2014.
His Валерьевич AKCëHOB), ‘election’ was decreed unconstitutional by Oleksandr Turchynov on 1 March Serhiy Valeriyovych 2014.
His ‘election’ was decreed un­ constitutional by the acting Ukrai­ Serhiy Valeriyovych nian President Oleksandr Turchynov AKSYONOV (Сергiй on 1 March 2014.
Oleksandr Turchynov's 'election' was decreed unconstitutional on 1 March 2014.
His ‘election’ was decreeed unconstitutional by Olekandr Tuppynov on 1March 2014.
Oleksandr Turchynov's election was decreed unconstitutional on 1 March Serhiy Valeriyovych 2014.
President Oleksandr Turchynov's 'election' was decreed unconstitutional by the acting Sergei Valerievich now Republic of Ukrainian President.
Oleksandr Turchynov's ‘election’ was decreed unconstitutional by the acting Ukrainian President on 1 March 2014.
His ‘ election’ is deemed unconstitutional by acting President Oleksander Turchyov."
251,5,"Ponomariov called on Vladimir Putin to send in Russian troops to protect the city and later asked him to supply weapons.
Ponomarev called on Vladimir Putin to send in Russian troops 12.5.2014 Ponomariov to protect the city and later asked him to supply weapons.
Ponomarev called on Vladimir Putin to send in Russian 12.5.2014 Ponomariov troops to protect the city and later asked him to supply weapons.
Sloviansk (Donetsk Vyacheslav oblast) mir Putin to send in Russian troops Volodymyrovich to protect the city and later asked him PONOMARYOV to supply weapons.
Sloviansk Vyacheslav Ponomariov called on Vladimir Putin Volodymyrovich to send in Russian troops to protect PONOMARYOV the city and later asked him to sup­ (В'ячеслав ply weapons.
Ponomarev called on Vladimir Putin to send in Russian 12.5.5 2014 Ponomariov troops to protect the city.
Ponomariov called on Vladimir Putin to send in Russian troops to protect the city.
Ponomarev called on Vladimir Putin to send in Russian troops 12.5.5 2014 Ponomariov to protect the city."
255,5,"As a member of the Security Council, which provides advice on and coordinates national security affairs, he was involved in shaping the policy of the Russian Government threatening the territorial integrity, sovereignty and independence of Ukraine.
As a member of the Security Council, which provides advice on and coordinates national security affairs, he is involved in and shares responsibility for policy decisions which undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.
As a member of the Security Council, which provides advice on and coordinates national security affairs, he was involved in and shares responsibility for policy decisions which undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.
As a member of the Security Council, which Михаил Ефимович Kuibyshev region provides advice on and coordinates national security affairs, he was involved in shaping the policy Фрадков of the Russian Government threatening the territorial integrity, sovereignty and independence of Ukraine.
As a member of the Security Council, which provides Kuibyshev region advice on and coordinates national security affairs, he was involved in shaping the policy of the Russian Government threatening the territorial integrity, sovereignty and independence of Ukraine.
He was involved in shaping the policy of Russian Government threatening Ukraine's sovereignty.
He was involved in shaping the policy of the Russian Government threatening the territorial integrity, sovereignty and independence of Ukraine.
He was involved in shaping the policy of the Russian Government threatening the territorial integrity.
As a member of the Security Council, he was involved in shaping the policy of the Russian Government threatening the territorial integrity, sovereignty and independence of Ukraine.
He was involved in shaping the policy of the Russian Government threatening the territorial and sovereignty of Ukraine.
He was involved in shaping the policy of the Russian Government threatening the territorial integrity and independence of Ukraine.
As a member of the Security Council, he is involved in and shares responsibility for policy decisions which undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.
As a member of the Security Council, he was involved in and shares responsibility for policy decisions which undermine or threaten the territorial integrity, sovereignty and independence of Ukraine."
272,5,"He is a former employer of Mr Borodai, so-called Prime Minister of the so-called ‘Donetsk People's Republic’ and met with Mr Aksyonov, so-called Prime Minister of the so-called ‘Republic of Crimea’, during the period of the Crimean annexation process.
He is a former employer of Mr Borodai, former so-called ‘Prime Minister’ of the ‘Donetsk People's Republic’ and met with Mr Aksyonov, so-called ‘Prime Minister’ of the so-called ‘Republic of Crimea’, during the period of the Crimean annexation process.
He is a 30.7.2014 Valerevich Puschino former employer of Mr Borodai, so-called Prime Minister of the so-called ‘Donetsk People's MALOFEEV Republic’ and met with Mr Aksyonov, so-called Prime Minister of the so-called ‘Republic of Константин Crimea’, during the period of the Crimean annexation process.
He is a 30.7.2014 MALOFEEV Puschino former employer of Mr Borodai, so-called Prime Minister of the so-called ‘Donetsk People's Константин Republic’ and met with Mr Aksyonov, so-called Prime Minister of the so-called ‘Republic of Валерьевич Crimea’, during the period of the Crimean annexation process.
Puschino, 'Prime Minister' of the 'Donetsk People's Republic' and met with Mr (Константин Валерьевич Moscow region Aksyonov, so-called 'Prime Minister' of the so-called 'Republic of Crimea', МАЛОФЕЕВ) during the period of the Crimean annexation process.
MALOFEEV Puschino is former employer of Mr Borodai, so-called Prime Minister of the ‘Donetsk People's’ He met with Mr Aksyonov during the period of Crimean annexation process.
Mr Aksyonov is a former employer of Mr Borodai, so-called Prime Minister of the ‘Donetsk People's Republic’ He met with the Prime Minister during the period of the Crimean annexation process.
Valerevich Puschino is former employer of Mr Borodai, so-called Prime Minister of the 'Donetsk People's MALOFEEV Republic' He met with Mr Aksyonov during the period of the Crimean annexation process.
Mr Borodai met with Mr Aksyonov, so-called ‘Prime Minister’ of the ‘Republic of Crimea’ during the period of the Crimean annexation process."
334,5,"There are increasing tensions between Russia and Ukraine over access to the area off the coast of Crimea.
Ukraine's increase in tension with Russia is seen in other parts of Russia.
Tensions between Ukraine and Russia have increased between the two countries.
In the context of Ukraine, tensions between Russia and the United States have been increasing in Europe.
Tensions between Ukraine and Russian Federation continued to increase when and the United States."
339,5,"Russia is also angered by the Ukrainian Orthodox Church gaining autocephaly—independence from the Russian Orthodox Church—for the first time since 1686.
The two appointments are preparation for granting the Orthodox Church in Ukraine autocephaly from the Russian Orthodox Church.
The two recent appointments by Constantinople are part of preparations to grant the Orthodox Church in Ukraine autocephaly from the Russian Orthodox Church.
Recently, Ukraine’s Orthodox Church gained autocephaly from the Russian Church.
The appointments are preparation for granting the Orthodox Church in Ukraine autocephaly from the Russian Orthodox Church.
The Orthodox Church of Ukraine received autocephaly from the Constantinople Church in January 2019.
The two appointments by Constantinople are part of preparations to grant the Orthodox Church in Ukraine autocephaly from the Russian Orthodox Church."
342,5,"Apart from a few countries, the international community condemns the Russian occupation of Crimea and considers it a violation of international law.
Key international organizations, including the General Assembly of the United Nations, condemned the actions of Russia and called the annexation and occupation of Crimea illegal.
Many states and international organizations have condemned Russia’s occupation as a violation of international law and Russia’s own commitments under the 1975 Final Act of the Conference on Security and Cooperation in Europe.
Many have condemned Russia’s occupation as a violation of international law and of Russia’s own international commitments.
U.N. condemned the Russian annexation and the General Assembly declared the move illegal.
Many states and international organizations have condemned Russia's occupation as a violation of international law."
351,5,"Crimea had been conquered by the Russian Empire in 1783, and remained part of it and later its successor, the Soviet Union.
Crimea had been part of Russia since at least since Catherine the Great defeated the Ottomans in 1783.
Crimea was won by Catherine the Great in 1783, becoming part of the Russian Empire and later the Russian Soviet Socialist Republic.
Once governed by the powerful and terrifying Crimean Khanate, a Turco-Mongol vassal state of the Ottoman Empire, the peninsula became part of Russia in 1783, when it was annexed by Catherine the Great.
Crimea became an Ottoman vassal state until Crimea's annexation into the Russian empire by Catherine the Great in 1783."
365,5,"Reacting to the flagrant violation of key provisions of international law, the Russian Foreign Ministry accused Ukraine of an “unequivocal provocation” and aggression.
In fact, the Russian Federation has committed an armed attack, which is an act of aggression against Ukraine.
Ukraine, on the other hand, has called this an act of Russian aggression.
Russia accused Ukraine of provocation and violation of the state borders of the Russian Federation.
The Ukraine government accused Russia of aggression of its sovereign territory."
415,5,"In July 1992, the Crimean and Ukrainian parliaments determined that Crimea would remain under Ukrainian jurisdiction while retaining significant cultural and economic autonomy, thus creating the Autonomous Republic of Crimea.
In 1992, Crimea was granted the status of an autonomous republic within Ukraine.
When signatures for a referendum were being collected in 1992, Ukraine offered more autonomy for Crimea.
Crimean parliament declared Crimea’s sovereignty in May 1992, but a compromise was reached in which Crimea's autonomy was increased.
The 1992 Crimean constitution implied a larger autonomy for Crimea within Ukraine."
442,5,"As many as 40,000 Russian troops are believed to be stationed along the Crimea-Ukraine border.
A Ukrainian estimation placed the deployment at 40,000 Russian forces for Crimea and the eastern portion of the Russo-Ukrainian border.
There are also 29,400 Russian troops in Crimea and 55,800 amassed along the border with eastern Ukraine.
There are also 29,400 Russian troops in Crimea and 55,800 massed along the border with eastern Ukraine.
NATO press briefing revealed the presence of an estimated 40,000 Russian troops, massed in a state of high readiness, just across Ukraine’s border."
533,5,"In 1922, Ukraine became one of the founders of the Union of Soviet Socialist Republics.
Ukraine became a founding member of the Union of Soviet Socialist Republics in December 1922.
In 1922 Ukraine joined with the other soviet republics to form the Union of Soviet Socialist Republics.
Ukraine became one of the founders of the Union of Soviet Socialist Republics in 1922.
In 1922, Ukraine and Russia were two of the founding members of the Union of Soviet Socialist Republics.
The region had become part of Ukraine in 1922 with the foundation of the Ukrainian Soviet Socialist Republic."
536,5,"Yanukovich fled Kiev on Feb., and an interim government was put in place.
When President Yanukovych fled Ukraine in February, an interim government was appointed, and official elections were scheduled for May.
In late February, about to be rejected by his own government, Yanukovych fled to Russia and a new interim government headed by Arseniy Yatsenyuk took over.
When President Yanukovych fled Ukraine in February, an interim government was appointed.
President Yanukovych resigned in February 2014, when a temporary government was established.
Yanukovych fled the country and an interim president was installed until elections could be held."
544,5,"It also said local elections will be held under terms of Ukrainian law.
Local elections in Donetsk and Luhansk regions to be held according OSCE standards.
Local elections in districts of Donetsk and Luhansk, to be agreed upon with representatives of those districts and held according to OSCE standards.
Local elections to be held in certain areas in Donetsk and Luhansk, in agreement with representatives of those districts and in accordance with OSCE standards.
Local elections will also be held in Ukraine under the terms of the law.
Local elections to be held under Ukrainian law in separatist-controlled areas of Luhansk and Donetsk.
Local elections in Donetsk and Luhansk regions to be held according to OSCE standards.
Local elections to be held in certain areas in Donetsk and Luhansk, in accordance with OSCE standards.
Local elections in Donetsk and Luhansk to be agreed upon with representatives of those districts."
573,5,"In 2013, President Viktor Yanukovych publicly abandoned the EU Association Agreement and Deep and Comprehensive Free Trade Agreement initiated in 2012.
President Yanukovych abandoned a trade agreement with the European Union in November 2013.
Mr Yanukovych abandoned Ukraine’s Association Agreement with the EU in 2013.
Yanukovych abandoned an Association Agreement and free trade deal with the EU in November.
Ukrainian President Victor Yanukovich's decision to abandon closer economic ties with the European Union in November 2013."
638,5,"To withdraw illegal armed groups and military equipment as well as fighters and mercenaries from the territory of Ukraine.
Withdrawal of all foreign armed groups, weapons, and mercenaries from Ukrainian territory.
Withdrawal of all foreign armed groups, weapons, and mercenaries from Ukrainian territory and disarmament of all illegal groups.
Withdrawal of all foreign armed groups, weapons, of Minsk-2, despite the commitments made by and mercenaries from Ukrainian territory and all sides.
Remove unlawful military formations, military hardware, as well as militants and mercenaries from the territory of Ukraine.
Withdrawal of all foreign armed groups, weapons, and weapons, despite commitments made by and mercenaries from Ukraine."
712,5,"On July 5, the European Union for six months extended economic sanctions against Russia they will operate until January 31, 2019.
EU diplomatic sources say the economic sanctions will likely be extended for another six months from end-July on the grounds that Russia has failed to live up to its commitments to the Minsk ceasefire accord in eastern Ukraine.
In July, the European Union for six months extended economic sanctions against Russia.
The European Union on Thursday extended sanctions against Russia for six months until March 15, 2019.
In July, the EU may extend its sanctions on Russia over Ukraine for an additional six months without any changes.
In December 2016, the EU decided to extend its sanctions on Russia for another six months."
785,5,"In 2010, President Yanukovych signed another agreement with Russia that extended the lease of the Sevastopol navy base by the Russian Black Sea Fleet for 25 years after the original lease was supposed to expire in 2017, in return for a discount for natural gas imported by Ukraine from Russia.
On 22 April 2010 Presidents Viktor Yanukovych and Dmitry Medvedev signed an agreement leasing the Russian Naval Forces base in Sevastopol to Russia for 25 years in return for discounted natural gas deliveries which accounted for $100 per 1,000 cubic meters.
In 2010, Yanukovych signed an agreement with Russia on the extension to at least 2042 of the Russian Black Sea Fleet’s basing in Sevastopol, in exchange for cheaper gas.
Presidents Viktor Yanukovych and Dmitry Medvedev signed an agreement leasing the Russian Naval Forces base in Sevastopol to Russia for 25 years.
Yanukovych renewed Russia’s lease of the Black Sea naval base in Sevastopol for 25 years.
In 2010, President Yanukovych signed another agreement with Russia that extended the lease of the Sevastopol navy base for 25 years.
In April 2010 he agreed to extend the lease for the Sevastopol naval base to Russia for 25 years.
Yanukovych signed an agreement with Russia on the extension to at least 2042 of the Russian Black Sea Fleet’s basing in Sevastopol."
829,5,"Many observers consider that of all the post-Soviet states, Ukraine has been the most difficult for Russia to accept as fully independent.
Background and United States Policy Ukraine Conflict 79 Many observers consider that of all the postSoviet states, Ukraine has been the most difficult for Russia to accept as fully independent.
Conflict with Russia65 Many observers believe that of all the post-Soviet states, Ukraine’s independence has been the most difficult for Russians to accept.
Russia-Ukraine Conflict Many observers consider that of all the post-Soviet states, Ukraine has been the most difficult for Russians to accept as fully independent.
Many observers consider that of all the post-Soviet states, Ukraine has been the most difficult for Russians to accept as fully independent.
Ukraine has been the most difficult for Russia to accept as fully independent.
It was difficult for Russia to accept the independence of Ukraine due to the pivotal role of Ukraine for Russia.
Many observers believe that of all the post-Soviet states, Ukraine's independence has been the most difficult for Russians to accept."
831,5,"Under Ukrainian President Viktor Yanukovych , such disputes were largely papered over; by the end of 2013, Yanukovych appeared to make a decisive move toward Russia, postponing Ukraine's association agreement with the EU and agreeing to substantial financial assistance from Moscow.
By the end of 2013, Yanukovych appeared to make a decisive move toward Russia, postponing the conclusion of an association agreement with the EU and agreeing to substantial financial assistance from Moscow.
By the end of 2013, ex-President Yanukovych appeared to make a decisive move toward Russia, postponing an Association Agreement to establish closer political and economic ties with the EU and agreeing instead to substantial financial assistance from Moscow.
Background, Conflict with Russia, and United States Policy Yanukovych appeared to make a decisive move toward Russia, postponing an association agreement to establish closer political and economic ties with the EU and agreeing instead to substantial financial assistance from Moscow.
By the end of 2013, Yanukovych appeared to make a decisive move toward Russia, postponing the conclusion of an Association Agreement that would establish closer political and economic ties with the EU and agreeing instead to substantial financial assistance from Moscow.
Yanukovych appeared to make a decisive move toward Russia, postponing the conclusion of an Association Agreement.
Yanukovych appeared to make a decisive move toward Russia, postponing the conclusion of an association agreement with the EU and agreeing to substantial financial assistance from Moscow."
1003,5,"On 6 September 2014, both parties agreed to a ceasefire in the capital of Belarus, Minsk.
Soon, on 5 September 2014, the parties participating in conflict signed an agreement in Minsk that led to a ceasefire.
In September 2014, a ceasefire was announced following negotiations in Minsk, the capital of Belarus.
Both parties agreed to a ceasefire in the capital of Belarus, Minsk, on 6 September 2014.
A September 5, 2014, ceasefire agreement reached in Minsk with the support of the Organization for Security and Cooperation in Europe.
Trilateral Contact Group negotiators signed a ceasefire agreement in Minsk in September 2014."
1104,5,"The non-Russian countries that were once part of the USSR have been termed the 'near abroad' by Russians.
The term """"""""near abroad"""""""" is used by the Russian Federation to refer to the 14 Soviet successor states other than Russia.
The term near abroad encompasses the former countries of the Soviet Union.
The near abroad is a term that has historically referred to the former Soviet states, including Estonia, Latvia, Lithuania, Ukraine, Moldova, and Belarus. ix x Russian Social Media Influence The Kremlin aims to leverage shared elements of the post-Soviet experience in order to drive wedges between ethnic Russian or Russianspeaking populations who reside in these states and their host governments.
The “near abroad” is the term Russia uses to refer to former Soviet republics.
The near abroad is a term that has historically referred to the former Soviet states."
1185,5,"Schism Emerges in Orthodox Church The Ecumenical Patriarch of Constantinople, the leading authority for Orthodox Christianity, recognizes the independence of the Ukrainian Orthodox Church, formally severing it from the Russian Orthodox Church, which has close reported ties to the Kremlin and had overseen the Ukrainian church for centuries.
Murad Sezer/Reuters The Ecumenical Patriarch of Constantinople, the leading authority for Orthodox Christianity, recognizes the independence of the Ukrainian Orthodox Church, formally severing it from the Russian Orthodox Church, which has close reported ties to the Kremlin and had overseen the Ukrainian church for centuries.
The Ecumenical Patriarch of Constantinople recognizes the independence of the Ukrainian Orthodox Church.
Constantinople Patriarch granted Ukraine's Orthodox Church independence from the Russian Orthodox Church.
The Orthodox Church of Ukraine will become an independent Orthodox Church in 2019.
In 2019, the Ecumenical Patriarch of Constantinople recognized the Orthodox Church of Ukraine as an independent church, officially separate from the Russian Orthodox Church."
1259,5,"Demonstrators gather at a barricade near Independence Square where pro-European integration protesters are holding a rally in central Kiev, December 12, 2013.
Nearly one million people gathered in protest at Independence Square in Kiev.
A timeline Several hundred Ukrainians gather in Kyiv’s Independence Square to protest.
Thousands gathered on Kyiv’s Independence Square to air their grievances.
Crowds of protesters came together on the Independence Square of Ukraine’s capital, Kiev.
Several hundred Ukrainians gather in Kyiv’s Independence Square to protest."
1297,5,"Holodomor and Soviet famine of 1932–33 In 1932–1933 Ukraine experienced the Holodomor which was a man-made famine in the Ukrainian Soviet Socialist Republic that killed up to 7.5 million Ukrainians.
Then, Holodomor, a man-made famine caused by Soviet policy during the shift to Russification, claimed the lives of between 2. and 7. million Ukrainians.
From 1932-1933 through Stalin’s forced food exportation a massive famine ravaged Ukraine now known as the Holodomor.
One such example is the Holodomor, a man-made famine that took place in Ukraine in 1932.
In 1932–33 Ukraine experienced the Holodomor which was a man-made famine in the Ukrainian Soviet Socialist Republic.
Holodomor, a man-made famine caused by Soviet policy during the shift to Russification, claimed the lives of between 2 and 7. million Ukrainians.
Some 4 million Ukrainian peasants perished in the state-engineered famine of 1932–33, which in Ukraine is known as the Holodomor."
1310,5,"The Russian information war against Ukraine has been another front of hybrid warfare waged by Russia.
Russian hybrid warfare, as illustrated by the war in eastern Ukraine, is the embodiment of Information Age warfare.
It has become clear, however, that Russia is actively using its information warfare techniques in support of a hybrid-warfare effort to achieve its current objectives, namely federalization of Ukraine or Kiev’s concession of special legal status to the separatist – controlled regions of eastern Ukraine.
It has become clear, however, that Russia is actively using its information warfare techniques in support of a hybrid-warfare effort to achieve its current objectives, namely the federalization of Ukraine or Kyiv’s concession of special legal status to the separatist-controlled regions of eastern Ukraine.
Russia is actively using its information warfare techniques in support of a hybrid-warfare effort to achieve its current objectives.
Russian information war is part of Moscow’s method of conducting hybrid warfare.
Russia is actively using its information warfare techniques in support of a hybrid-warfare effort.
Information warfare is an important element of hybrid war in which Russia spends a lot."
1600,5,"Igor Sechin, the deputy head of the Kremlin administration, became the chairman of the Rosneft oil company.
They include Igor Sechin, the president of Rosneft, Russia’s leading oil company, and former chief of staff to Putin.
Igor Sechin, former Soviet agent and arms smuggler and currently Rosneft CEO and adviser to Putin; 2.
Russia Sechin Igor ✓ Sechin is the President and Chairman of the Management Board for Rosneft, Russia’s leading petroleum company, and one of the world’s largest publicly-traded oil companies.
Igor Sechin, former Soviet agent and arms smuggler, is currently Rosneft CEO and adviser to Putin.
Igor Sechin is the president of Rosneft, Russia’s leading oil company, and former chief of staff to Putin.
Its board chairman is Mr Sechin, the president of the state-owned oil giant Rosneft.
Russia Sechin Igor is the President and Chairman of the Management Board for Rosneft."
1673,5,"These countries are all states of the former Soviet Union that have sizable ethnic Russian populations and Russian-speaking communities.
Many of the former Soviet republics were part of the Russian Empire before the rise of the Soviet Union, and many among their populations still speak Russian.
The Russian Language Former Soviet republics are home to significant ethnic Russians.
The region is home to large numbers of ethnic Russians and Russian speakers.
Many countries that made up the former Soviet republics still have a large ethnic Russian population."
1694,5,"Since Ukraine achieved independence in 1991, Ukraine’s political scene has been dominated by “oligarchs” (powerful, politically well-connected businessmen, mainly based in eastern and southern Ukraine), which had divided up the country’s economic assets among themselves and regularly manipulated the government budget for their own profit.
Since achieving its independence in 1991, Ukraine’s political scene has been largely dominated by a powerful political elite and politically well-connected businessmen, or “oligarchs,” who regularly manipulate the government for their own security and profit.
Since achieving its independence in 1991, Ukraine’s political scene has been largely dominated by a powerful political elite and politically well-connected businessmen, or “oligarchs,” who regularly manipulated the government for their own security and profit.
Since Ukraine achieved independence in 1991, Ukraine’s political scene has been dominated by “oligarchs” (powerful, politically well-connected businessmen, mainly based in eastern and southern Ukraine), which have divided up the country’s economic assets among themselves and raided the government budget for their own profit.
Perhaps the most significant influencers in Ukraine's politics since realizing its independence in 1991 have come from the politically well-connected businessmen, or “oligarchs,” who regularly influence the government for their security and profit.
Ukraine’s political scene has been largely dominated by a powerful political elite and politically well-connected businessmen, or “oligarchs,” who regularly manipulated the government for their own security and profit.
Ukraine's political scene has been dominated by ‘oligarchs’ (powerful, politically well-connected businessmen) Since Ukraine achieved independence in 1991, Ukraine’s political scene is dominated by 'oligarch' businessmen.
The most significant influencers in Ukraine's politics since its independence in 1991 have come from the politically well-connected businessmen, or “oligarchs,” who regularly influence the government for their security and profit.
Ukraine’s political scene has been largely dominated by a powerful political elite and politically well-connected businessmen, or “oligarchs,” who regularly manipulate the government.
Ukraine's political scene has been dominated by ‘oligarchs’ (powerful, politically well-connected businessmen, mainly based in eastern and southern Ukraine) Since Ukraine achieved independence in 1991, Ukraine’s political scene is dominated by 'oligarch' businessmen."
