labels,n_sources,sentence,summary_text_distilbart_cnn_12_6,summary_text_bart_large
715,5,"All the means located there, and I assure you of this, have a defensive character, are on Cuba solely for the purposes of defense, and we have sent them to Cuba at the request of the Cuban Government.
These means are situated in Cuba at the request of the Cuban Government and are only for defense purposes.
These means are stationed in Cuba at the request of the Cuban Government and only in defensive aims.
All the means located there, and I assure you of this, have a defensive character, are on Cuba solely for the purposes of defence and we have sent them to Cuba at the request of the Cuban Government.
These means are situated in Cuba at the request of the Cuban government and are only for defensive purposes.
These mean are stationed in Cuba at the request of the Cuban Government and only in defensive aims.
All the means located there, and I assure you of this, have a defensive character, are on Cuba solely for the purposes of defence."," These means are situated in Cuba at the request of the Cuban Government and are only for defense purposes . The means located there, and I assure you of this, have a defensive character, are on Cuba solely for the purposes of defence and we have sent them to Cuba .","These means are situated in Cuba at the request of the Cuban Government and are only for defense purposes. All the means located there, and I assure you of this, have a defensive character, are on Cuba solely for the purposes of defense, and we have sent them to Cuba."
732,5,"And a moment may come when that knot will be tied so tight that even he who tied it will not have the strength to untie it, and then it will be necessary to cut that knot.
And a time may come when this knot is tied so tight that the person who tied it is no longer capable of untying it, and then the knot will have to be cut.
And a moment may come when that knot will be tied so tight that even he who tied it will not have the strength to untie it.
And a moment may come when that knot will be tied so tight that even he who tied will not have the strength to untie it, and then it will be necessary to cut that knot.
The knot may come so tight that even he who tied it will not have the strength to untie it.
A moment may come when the knot will be tied so tight that evenhe who tied it will not have the strength to untie it, and then it will he necessary to cut that knot."," The knot may come so tight that even he who tied it will not have the strength to untie it, and then it will be necessary to cut that knot . And a moment may come when that knot will be tied so tight even the person tied it is no longer capable of untying it .","A moment may come when that knot will be tied so tight that even he who tied it will not have the strength to untie it, and then it will be necessary to cut that knot. The person who tied the knot is no longer capable of untying it. The knot will have to be cut."
734,5,"Consequently, if there is no intention to tighten that knot and thereby to doom the world to the catastrophe of thermonuclear war, then let us not only relax the forces pulling on the ends of the rope, let us take measures to untie that knot.
And a moment may come when that knot will be tied so tight that even he who tied it will not have the strength to untie it, and then it will be necessary to cut that knot, and what that would mean is not for me to explain to you, because you yourself understand perfectly of what terrible forces our countries dispose.
And a moment may come when the knot will be tied so tight that evenhe who tied it will not have the strength to untie it, and then it will he necessary to cut that knot; and what that would mean is not for me to explain to you, because you yourself understand perfectly o of what terrible iorces gs our countries dispose.
And then it will be necessary to cut that knot.And what that will mean is not for me to explain to you, because you yourself understand perfectly what terrible forces our countries possess.
And a moment may come when that knot will be tied so tight that even he who tied it will not have the strength to untie it, and then it will be necessary to cut that knot, and what that would mean is not for me to explain to you, because you yourself understand perfectly of what terrible forces our countries dispose.Consequently, if there is no intention to tighten that knot and thereby to doom the world to the catastrophe of thermonuclear war, then let us not only relax the forces pulling on the ends of the rope, let us take measures to untie that knot."," A moment may come when that knot will be tied so tight that even he who tied it will not have the strength to untie it, and then it will be necessary to cut that knot . Consequently, if there is no intention to tighten that knot and thereby to doom the world to the catastrophe of thermonuclear war, then let us relax the forces pulling on the ends of the rope .","And a moment may come when that knot will be tied so tight that even he who tied it will not have the strength to untie it, and then it will be necessary to cut that knot. Consequently, if there is no intention to tighten that knot and thereby to doom the world to the catastrophe of thermonuclear war, then let us not only relax the forces pulling on the ends of the rope."
742,5,"You have been alarmed by the fact that we have aided Cuba with weapons, in order to strengthen its defense capability·precisely defense capability· because whatever weapons it may possess, Cuba cannot be equated with you since the difference in magnitude is so great, particularly in view of modern means of destruction.
You have been worried over our assisting Cuba with arms designed to strengthen its defensive potential—precisely defensive potential—because Cuba, no matter what weapons it had, could not compare with you since these are different dimensions, the more so given up-to-date means of extermination.
You have been worried over our assisting Cuba Respectfully yours, with arms designed to strengthen its defensive Nikita Khrushchev potential—precisely defensive potential—because Cuba, no matter what weapons it had, could not compare with you since these are Letter from Chairman different dimensions, the more so given up-toKhrushchev to President date means of extermination.
You have been worried concerning the fact that we have helped Cuba with weapons with the aim of strengthening its defensive capacity – yes, precisely its “defensive capacity” – because no matter what weapons it possesses, Cuba cannot equal you.
You have been worried over our assisting Cuba with arms designed to strengthen its defensive potential--precisely defensive potential--because Cuba, no matter that weapons it had, could not compare with you since these are different dimensions, the more so given up-to-date means of extermination.
You have been worried over our assisting Cuba with arms designed to strengthen its defensive Nikita Khrushchev potential—precisely defensive potential—because Cuba, no matter what weapons it had, could not compare with you since these are different dimensions."," You have been alarmed by the fact that we have aided Cuba with weapons, in order to strengthen its defense capability . Because whatever weapons it may possess, Cuba cannot be equated with you since the difference in magnitude is so great, particularly in view of modern means of destruction .","You have been worried over our assisting Cuba with arms designed to strengthen its defensive potential. Cuba, no matter what weapons it had, could not compare with you since these are different dimensions. Cuba cannot be equated with you because the difference in magnitude is so great, particularly in view of modern means of destruction."
743,5,"Our aim has been and is to help Cuba, and no one can dispute the humanity of our motives, which are oriented toward enabling Cuba to live peacefully and develop in the way its people desire.
Our purpose has been and is to help Cuba, and no one can challenge the humanity of our motives aimed at allowing Cuba to live peacefully and develop as its people desire.
Our aim has been and is to help Cuba, and no one can dispute the humanity of our motives, which are oriented toward enabling Cuba to live peacefully and develop in the way its people desire.You wish to ensure the security of your country, and this is understandable.
And no one can deny the humaneness of our motives, which are to enable Cuba to live in peace and develop in the way its people desire.
Our purpose has been and is to help Cuba, an no one can challenge the humanity of our motives aimed at allowing Cuba to live peacefully and develop as its people desire."," Our aim has been and is to help Cuba, and no one can dispute the humanity of our motives, which are oriented toward enabling Cuba to live peacefully and develop in the way its people desire . You wish to ensure the security of your country, and this is understandable .","Our aim has been and is to help Cuba, and no one can dispute the humanity of our motives. Our purpose is to enable Cuba to live in peace and develop in the way its people desire. You wish to ensure the security of your country, and this is understandable."
753,5,"And, after that, persons entrusted by the United Nations Security Council could inspect on the spot the fulfillment of the pledges made.
After this, representatives of the UN Security Council could control on-the-spot the fulfillment of these commitments.
After this, persons enjoying the confidence of the United Nations Security Council might check on-the-spot fulfillment of the pledges assumed.
After this, representatives of the United Nations Security Council could control on-the-spot the fulfillment of these commitments.
The United Nations Security Council could inspect on the spot the fulfillment of the pledges made.
Security Council might check on-the-spot fulfillment of the pledges assumed."," The United Nations Security Council could inspect on the spot the fulfillment of the pledges made . After this, representatives of the UN Security Council can control on-the-spot the fulfillment . The Security Council might check on- the-spot fulfillment of these pledges assumed .","Security Council might check on-the-spot fulfillment of the pledges assumed. After this, representatives of the UN Security Council could control on- the-spot the fulfillment of these commitments. And, after that, persons entrusted by the United Nations Security Council can inspect on the spot the pledges made."
757,5,"It will declare that the United States will respect the inviolability of CubaÊs borders and its sovereignty, will pledge not to interfere in its internal affairs, not to invade Cuba itself or make its territory available as a bridgehead for such an invasion, and will also restrain those who might contemplate committing aggression against Cuba, either from the territory of the United States or from the territory of CubaÊs other neighboring states.
It will declare that the United States will respect the integrity of the frontiers of Cuba, its sovereignty, undertakes not to intervene in its domestic affairs, not to invade and not to make its territory available as place d’armes for the invasion of Cuba, and also will restrain those who would think of launching an aggression against Cuba either from U.S. territory or from the territory of other states bordering on Cuba.
It will declare that the United States will respect the inviolability of Cuba's borders and its sovereignty, will pledge not to interfere in its internal affairs, not to invade Cuba itself or make its territory available as a bridgehead for such an invasion, and will also restrain those who might contemplate committing aggression against Cuba, either from the territory of the United States or from the territory of Cuba's other neighboring states.Of course, for this we would have to come to an agreement with you and specify a certain time limit.
It will declare that the United States will respect the inviolability of the frontiers of Cuba and its sovereignty, undertakes not to interfere in its internal affairs, not to invade, and not to make its territory available as a bridgehead for such an invasion of Cuba, and will also restrain those who might contemplate perpetrating aggression against Cuba, both from the territory of the United States and from the territory of other neighboring states of Cuba.
It will declare that the United States will respect the integrity of the frontiers of Cuba, its sovereignty, undertakes not to intervene in its domestic affairs, not to invade and not to make its territory available as a place d'armes for the invasion of Cuba, and also will restrain those who would think of launching an aggression against Cuba either from United States territory or from the territory of other states bordering on Cuba.
It will declare that the United States will respect the integrity of the frontiers of Cuba, its sovereignty.
It will declare that the United States will respect the integrity of the frontiers of Cuba, its sovereignty, undertakes not to intervene in its domestic affairs, not to invade and not to make its territory available as place d’armes for the invasion of Cuba.
It will declare that the United States will respect the inviolability of the frontiers of Cuba and its sovereignty."," It will declare that the United States will respect the inviolability of CubaÊs borders and its sovereignty . It will pledge not to interfere in its internal affairs, not to invade Cuba itself or make its territory available as a bridgehead for such an invasion of Cuba .","It will declare that the United States will respect the inviolability of CubaÊs borders and its sovereignty. It will pledge not to interfere in its internal affairs, not to invade Cuba itself or make its territory available as a bridgehead for such an invasion."
759,5,"Let us agree to some period of time, but without unnecessary delay·say within two or three weeks, not longer than a month.
Let us agree to give some time, but not to delay, two or three weeks, not more than a month.
Let us agree to some period of time, but not to delay – two or three weeks; not more than a month.
Let us agree to give some time, but not delay, two or three weeks, not more than a month.
Let us agree to some period of time, but without unnecessary delay--say within two or three weeks."," Let us agree to some period of time, but without unnecessary delay – two or three weeks; not more than a month . Let us give some time,  but not delay, two or 3 weeks, not longer than a a month.","Let us agree to give some time, but not to delay, two or three weeks, not more than a month. Let us. agree to some period of time. but without unnecessary delay, say within two or. three weeks. Let. us."
762,5,"The greatest joy for all peoples would be the announcement of our agreement and of the eradication of the controversy that has arisen.
The greatest pleasure for all the people would be an announcement on our agreement, on nipping in the bud the conflict that has arisen.
The greatest joy for all peoples would be the announcement of our agreement.
The greatest joy for all peoples would be announcement of our agreement on the radical liquidation of the conflict that has arisen.
The greatest pleasure for all the peoples would be an announcement on our agreement, on nipping in the bud the conflict that has arisen."," The greatest pleasure for all the peoples would be an announcement on our agreement, on nipping in the bud the conflict that has arisen . The greatest joy for all peoples would  be announcement of our agreement on the radical liquidation of the conflict .","The greatest pleasure for all the people would be an announcement on our agreement, on nipping in the bud the conflict that has arisen. The greatest joy for all peoples would be the announcement of our agreement on the radical liquidation of the conflict."
767,5,"These views have so far not been resolved, but they are awaiting urgent solution, which would clear up the international atmosphere.
These problems have not yet been solved, but they wait for an urgent solution which would clear the international atmosphere.
These issues have so far not been resolved, but they are awaiting urgent solution, which would clear up the international atmosphere.
These issues have not so far been solved, but they are awaiting urgent solution which would clear the international atmosphere.
These problems have not yet been solved, but they wait from an urgent solution which would clear the international atmosphere."," These views have so far not been resolved, but they are awaiting urgent solution, which would clear up the international atmosphere . These views are not yet resolved but they wait for an urgent solution which would cleared up the world's atmosphere, which has not yet been solved .","These views have so far not been resolved, but they are awaiting urgent solution, which would clear up the international atmosphere. These issues have not so far been solved, but are awaiting an urgent solution. These problems have not yet been solved but they wait for anurgent solution."
815,5,"The morale of the Cuban people is extremely high and the aggressor will be confronted heroically.
The morale of the Cuban people is exceptionally high, and will face the aggression heroically.
The Cuban people’s morale is extremely high and the people will confront aggression heroically.
The Cuban Fraternally, people’s morale is extremely high and the Fidel Castro people will confront aggression heroically.
The morale of the Cuban people is extremely high and they will face the aggressor heroically.
The morale of the Cuban people is extremely high and they will face the aggressor heroically, says Cuban President Vladimir Putin.
The Cuban people’s morale is extremely high and the people will confront aggression heroically, says Cuban president.
The morale of the Cuban people is exceptionally high, and will face the aggression heroically, says Cuban President Vladimir Putin."," The morale of the Cuban people is extremely high and the aggressor will be confronted heroically, says Cuban President Vladimir Putin . The morale . of the . Cuban people’s morale is . extremely high, and the people will confront aggression heroically .","The Cuban people’s morale is extremely high and the people will confront aggression heroically, says Cuban president. The morale of the Cuban people is exceptionally high, and will face the aggressor heroically. The Cuban Fraternally, people's morale is. extremely high."
816,5,"If the second variant is implemented and the imperialists invade Cuba with the goal of occupying it, the danger that that aggressive policy poses for humanity is so great that following that event the Soviet Union must never allow the circumstances in which the imperialists could launch the first nuclear strike against it.
If the second variant takes place and the imperialists invade Cuba with the aim of occupying it, the dangers of their aggressive policy are so great that after such an invasion the Soviet Union must never allow circumstances in which the imperialists could carry out a nuclear first strike against it.
If…the imperialists invade Cuba with the goal of occupying it, the danger that this aggressive policy poses for humanity is so great that following that event the Soviet Union must never allow the circumstances in which the imperialists could launch the first nuclear strike against it.
Should the second variant take place and the imperialists invade Cuba with the intention of occupying , the dangers of this aggressive policy for humanity are so great that after such an event the Soviet Union must never allow circumstances in which the imperialists might carry out a nuclear first strike against it.
If . . . the imperialists invade Cuba with the goal of occupying it, the danger that that aggressive policy poses for humanity is so great that following that event the Soviet Union must never allow the circumstances in which the imperialists could launch the first strike against it.
If the imperialists invade Cuba with the aim of occupying it, the dangers of their aggressive policy are so great that after such an invasion the Soviet Union must never allow circumstances in which they could carry out a nuclear first strike against it."," If the imperialists invade Cuba with the goal of occupying it, the danger that that aggressive policy poses for humanity is so great that following that event the Soviet Union must never allow the circumstances in which the imperialist could launch the first nuclear strike against it .","If the imperialists invade Cuba with the aim of occupying it, the dangers of their aggressive policy are so great that after such an invasion the Soviet Union must never allow circumstances in which they could carry out a nuclear first strike against it. The danger that this aggressive policy poses for humanity is so great. that following that event the Soviet. Unionmust never allow the circumstances inWhich the imperialist could launch the first nuclear strike against. it."
821,5,"But at the same time, we are ready to calmly confront a situation which we view as quite real and quite close.
But, at the same time, we are serene and ready to confront a situation which we see as very real and imminent.
But at the same time, we are ready to calmly confront a situation that we view as quite real and quite close.
But at the same time, we are calmly preparing to confront a situation that we see as very real and very near.
But at the same time, we are ready to confront a situation which we view as quite real and quite close."," But at the same time, we are ready to calmly confront a situation which we view as quite real and quite close . We are serene and ready to confront a very real and imminent situation, but also serene, says BBC presenter .","We are ready to calmly confront a situation which we view as quite real and quite close. But at the same time, we are serene and ready to confront a situations which we see as very real and imminent. We are calmly preparing to confronts a situation that we see. as veryreal and very near."
850,5,"But we, political and government figures, are leaders of a people who doesnÊt know everything and canÊt really comprehend all that we leaders must deal with.
But we, politicians and heads of state, are the people’s leaders and the people do not know everything.
And we must recand heads of state, are the people’s leaders and ognize that they had the capability to put them the people do not know everything.
But we, political and government figures, are leaders of a people who doesn't know everything and can't readily comprehend all that we leaders must deal with.
But we, as political figures and heads of state, are the leaders of the people, and the people do not know everything.
Politicians and heads of state are the people’s leaders and the people do not know everything."," Politicians and heads of state are the people’s leaders and the people do not know everything . But we, political and government figures, are leaders of a people who doesn't know everything and can't readily comprehend all that we leaders must deal with .","Politicians and heads of state are the people’s leaders and the people do not know everything. But we, political and government figures, are leaders of a people who doesn't know everything and can't readily comprehend all that we leaders must deal with."
857,5,"In your cable of October 27 you proposed that we be the first to launch a nuclear strike against the territory of the enemy.
In your cable of October 27 you proposed that we be the first to carry out a nuclear strike against the enemy’s territory.
In your cable of October 27 you proposed If, by giving in to popular sentiment, we that we be the first to carry out a nuclear strike had allowed ourselves to be swept up by the against the enemy’s territory.
In your …you proposed that we be the first to launch a nuclear attack on the territory of the enemy.
In your cable of October 27, you proposed that we should strike the first nuclear blow against enemy territory.
You proposed that we be the first to launch a nuclear attack on the territory of the enemy."," In your cable of October 27, you proposed that we be the first to launch a nuclear strike against the territory of the enemy . If, by giving in to popular sentiment, we had allowed ourselves to be swept up by the against the enemy’s territory .","In your cable of October 27 you proposed that we be the first to carry out a nuclear strike against the enemy’s territory. If, by giving in to popular sentiment, we had allowed ourselves to be swept up by the against the Enemy, you said."
863,5,"There is no doubt that the Cuban people would have fought courageously or that they would have died heroically.
Without a doubt the Cuban people would have fought courageously but, also without a doubt, the Cuban people would have perished heroically.
There's no doubt that the Cuban people would have fought courageously or that they would have died heroically.
No doubt the Cuban people would have struggled courageously heroically, as well but no doubt they would have perished.
As he explained on October 30 to a disappointed Castro, who would have preferred an armed confrontation with the Americans, “There’s no doubt that the Cuban people would have fought courageously or that they would have died heroically.
Without a doubt the Cuban people would have fought courageously but, also without a doubt, would have perished heroically."," There is no doubt that the Cuban people would have died without a doubt or that they would have been able to do so much more . There's no doubt the people in the U.S. would have lived courageously, as well as their lives .","There is no doubt that the Cuban people would have died if they had been allowed to live. The Cuban people are the ones who would have been killed if they hadn't been able to live out their dreams. They would have had to live with the loss of their loved ones, who were killed in the war."
889,5,"We knew, and do not presume that we ignored it, that we would have been annihilated, as you insinuate in your letter, in the event of nuclear war.
We knew, don’t think that we didn’t, that we would have been exterminated, as you insinuate in your letter, in the case of thermonuclear war.
We knew, and one must not think otherwise, that we would be annihilated, as you indicated in your letter, if there was a nuclear war.
We know, don't think we didn't, that we would have been exterminated, as you imply in your letter, if a thermonuclear war had begun.
However, I didn’t hesitate to do it… “We knew, and do not presume that we ignored it, that we would have been annihilated, as you insinuate in your letter, in the event of nuclear war.
We knew, don't think that we didn’t, that we would have been exterminated in thermonuclear war."," We knew, don't think that we didn't, that we would have been exterminated, as you insinuate in your letter, in the case of thermonuclear war . However, I didn’t hesitate to do it… “We knew, and do not presume that we ignored it, that . we would be annihilated,’s one must not think otherwise, if there was a nuclear war .","We knew, don't think that we didn’t, that we would have been exterminated, as you insinuate in your letter, in the case of thermonuclear war. We knew, and do not presume that we ignored it."
